class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,habitat
e,k,y,w,t,f,a,w,n,u,w
p,f,y,w,t,n,n,c,n,b,d
e,s,g,n,t,n,f,c,n,r,l
e,s,f,p,t,p,a,c,b,u,w
e,f,g,u,t,n,a,d,n,h,u
e,c,f,b,f,a,a,d,n,g,p
p,s,y,y,f,y,d,c,n,g,u
p,s,g,e,t,p,f,c,n,g,d
p,c,f,e,t,p,a,d,b,n,p
e,c,y,p,f,n,f,w,n,w,l
p,s,s,w,t,s,n,c,n,n,u
e,s,f,c,f,a,n,c,n,k,m
e,s,s,b,t,a,a,w,b,k,u
p,c,f,b,f,n,f,d,n,h,m
p,s,y,p,t,m,a,d,n,b,m
p,b,g,u,t,n,a,c,n,h,l
p,b,f,p,f,c,d,w,b,w,p
e,c,s,c,f,n,f,d,b,y,p
e,c,y,r,t,n,d,w,b,y,m
p,c,f,e,f,f,a,w,b,r,d
e,x,s,p,t,s,d,c,n,w,p
e,c,f,b,t,n,d,w,n,k,u
p,x,s,u,t,y,d,w,n,p,m
p,c,f,e,t,f,n,w,b,p,m
e,f,g,g,f,n,n,w,b,o,g
p,k,g,n,t,f,d,w,b,y,u
p,s,g,b,t,p,f,c,b,w,p
p,s,g,g,f,f,n,d,b,w,p
e,b,y,u,f,a,d,d,n,h,g
e,f,g,b,t,l,a,w,b,p,u
e,k,f,p,t,l,n,c,n,u,l
e,s,y,b,t,n,a,c,b,g,l
e,s,f,u,t,y,d,w,b,r,d
e,x,s,b,f,l,d,w,n,e,u
e,b,g,c,t,n,d,d,n,p,p
p,x,f,w,f,s,a,d,n,g,w
e,x,f,g,t,l,n,d,n,y,d
p,b,f,r,f,p,d,w,b,h,l
p,k,s,w,f,f,f,d,b,p,w
e,b,s,u,t,a,d,c,b,b,w
p,c,s,e,f,s,n,c,b,r,d
p,x,f,c,f,y,n,w,b,u,l
e,c,s,g,f,a,f,w,b,r,p
p,b,g,u,f,y,d,d,b,u,d
e,b,s,g,t,a,n,c,n,p,u
p,s,s,b,f,y,n,d,b,y,g
e,k,f,y,t,n,n,c,n,u,u
p,x,f,p,f,c,a,d,n,e,g
e,f,f,w,t,l,n,w,n,u,w
p,b,f,b,t,y,n,c,b,p,w
e,s,g,n,f,n,a,c,n,u,u
p,f,f,e,t,s,d,c,b,o,d
p,x,y,n,f,c,f,d,n,o,l
e,c,y,n,t,a,a,d,n,w,w
p,x,f,c,f,p,a,d,n,h,m
e,k,f,r,f,p,a,c,n,k,m
p,f,g,w,t,s,n,w,b,o,p
e,s,y,y,t,n,d,d,n,p,d
p,f,s,b,f,p,d,c,b,y,u
p,c,g,n,f,y,d,d,n,u,u
e,s,s,n,f,l,f,c,n,k,d
e,c,f,e,f,n,d,c,b,u,p
e,b,y,y,t,n,f,d,n,o,p
p,x,s,y,t,y,n,c,n,o,g
e,k,y,y,t,n,d,d,n,b,g
p,b,s,b,t,y,f,c,b,k,m
p,x,g,w,f,s,n,w,b,o,l
e,c,f,w,f,n,n,w,b,e,u
p,k,y,b,t,p,f,w,n,p,d
e,c,g,c,f,a,n,w,n,r,m
e,s,y,b,f,a,n,d,b,o,m
p,c,s,p,t,p,d,c,n,u,l
e,f,s,u,t,n,f,c,b,p,m
e,x,f,p,t,n,n,w,b,g,m
p,b,s,c,t,c,a,w,n,y,l
e,f,f,c,t,a,a,c,b,w,m
p,s,f,b,t,s,n,c,n,h,u
p,x,g,b,t,p,d,c,n,w,p
e,s,f,r,f,n,a,w,b,h,l
e,x,g,e,f,l,d,c,b,h,w
p,x,y,p,f,f,n,w,b,n,d
e,k,s,w,t,y,f,w,n,e,p
e,f,s,r,t,n,n,w,b,e,u
p,b,s,y,t,p,n,c,n,o,w
e,f,f,g,f,n,a,w,b,p,m
p,s,g,w,t,c,f,d,b,y,m
e,c,g,y,f,p,d,c,b,o,w
e,s,g,r,t,n,d,c,b,w,w
e,x,f,n,f,n,f,c,n,e,m
p,c,s,r,f,f,d,c,n,p,p
p,f,s,r,t,s,a,w,b,w,w
p,b,g,r,t,y,n,d,b,w,g
e,c,f,b,f,a,d,w,b,u,p
e,c,s,p,f,n,a,d,b,p,g
e,k,f,r,t,l,d,c,b,g,d
e,f,y,b,t,a,a,w,b,h,p
p,c,y,y,t,s,d,w,b,g,u
p,f,f,e,t,s,d,w,b,y,p
e,b,y,p,f,n,f,d,b,w,p
p,c,s,y,t,p,f,d,b,k,d
e,b,g,c,f,a,a,c,n,g,l
p,s,f,w,t,p,f,w,b,r,w
e,c,y,g,f,n,n,c,b,u,m
e,x,g,c,t,l,f,d,b,u,m
e,k,s,u,f,s,a,c,b,e,w
e,k,s,e,t,p,f,w,n,y,m
p,k,f,u,t,s,a,w,n,b,g
e,b,g,n,t,n,n,d,n,w,u
e,f,s,n,t,n,a,d,n,p,g
p,k,f,r,f,f,a,c,n,p,l
p,s,y,e,t,y,n,w,n,u,l
p,c,g,y,t,f,n,c,n,k,w
e,c,s,c,t,n,a,d,b,g,d
p,x,y,e,t,c,d,d,b,g,p
p,b,g,c,f,n,d,c,n,o,l
e,c,g,g,t,y,a,w,b,w,l
e,c,g,y,f,n,f,d,b,p,u
e,x,s,u,t,y,a,c,n,w,l
e,x,g,c,t,n,a,w,n,o,d
e,f,y,g,f,a,f,c,b,r,p
e,f,s,e,t,a,n,d,n,h,m
p,f,g,g,t,p,a,w,n,u,g
p,c,y,w,t,n,d,d,b,n,g
p,x,s,g,t,y,n,d,n,r,d
p,s,g,g,t,p,n,d,n,e,g
e,b,f,r,f,n,a,d,n,r,p
p,f,f,n,t,c,d,d,b,w,u
p,s,g,u,t,y,f,c,b,h,p
e,k,f,w,t,l,f,d,n,b,d
p,c,s,w,f,s,f,d,n,w,g
p,b,g,n,f,s,d,d,b,b,d
p,c,y,p,f,p,n,w,n,n,p
p,s,f,c,t,y,n,d,b,b,p
e,f,g,g,t,a,a,w,b,h,p
e,s,s,e,t,p,n,c,b,e,m
e,s,g,g,t,l,n,d,b,h,p
p,c,y,e,t,f,f,c,b,e,d
p,f,y,g,f,f,f,c,b,o,u
p,c,g,w,t,p,f,d,b,h,m
e,f,g,p,f,l,n,c,b,u,w
e,x,g,n,f,n,a,d,b,p,w
p,x,g,y,f,s,n,c,n,k,p
p,x,s,b,t,m,a,w,n,e,l
e,x,g,u,t,n,n,w,b,k,g
e,x,s,y,f,n,d,w,n,r,m
p,k,g,u,f,m,n,d,n,h,l
p,c,s,c,f,p,d,c,b,e,d
e,s,y,n,f,n,a,w,b,r,g
e,x,f,e,f,n,n,d,b,u,u
p,k,g,y,t,y,n,w,n,e,l
p,k,g,y,f,s,a,w,b,g,u
e,c,y,u,f,n,f,d,b,p,u
e,c,f,y,t,n,f,w,n,n,d
p,f,y,e,f,s,d,d,n,p,d
e,f,y,n,f,n,n,w,n,p,l
e,x,g,c,f,n,f,d,b,n,l
p,b,g,b,f,s,a,w,n,o,m
e,f,y,n,t,f,a,c,b,p,u
p,b,g,r,t,f,n,c,n,o,l
e,s,g,c,f,n,d,d,n,r,d
p,f,g,y,f,s,a,d,n,b,u
e,s,f,e,f,a,n,c,n,w,p
e,k,f,p,f,n,d,d,b,w,p
e,k,g,y,t,n,f,w,n,b,p
p,s,y,w,t,f,n,w,b,p,u
p,k,f,w,t,s,d,w,b,h,u
e,s,y,p,f,n,a,w,b,e,l
p,b,s,b,t,c,f,w,b,p,l
p,x,s,w,f,p,a,w,b,e,m
p,s,g,b,f,p,a,w,b,r,d
e,f,y,c,t,y,f,d,n,b,m
p,f,y,p,f,f,n,c,b,y,m
e,b,s,b,t,a,n,w,n,e,d
e,s,f,r,t,n,n,w,n,n,w
p,k,y,b,f,y,a,d,b,k,g
p,x,y,g,t,f,a,d,n,y,p
e,f,f,c,f,n,n,c,b,h,u
e,x,g,r,f,y,n,c,n,p,w
p,x,s,p,t,p,f,d,b,h,p
p,c,y,u,t,c,a,w,b,p,u
e,x,g,y,t,n,d,w,n,p,w
p,s,g,e,t,p,n,w,b,w,g
e,c,g,w,t,n,n,w,b,k,u
e,b,f,g,f,n,a,w,n,r,m
p,k,g,g,f,p,n,d,b,w,w
e,c,y,u,t,n,n,c,n,e,p
e,x,g,y,t,l,a,c,b,p,p
p,k,g,y,t,y,n,d,n,p,p
p,x,g,w,f,p,f,w,b,k,g
e,x,s,b,f,a,d,d,n,p,w
p,c,y,p,f,n,a,c,b,u,p
p,b,s,y,t,f,f,c,b,w,l
e,x,s,y,f,a,a,c,b,r,d
p,s,g,e,t,p,a,c,n,o,m
e,c,g,r,t,n,a,d,b,r,m
e,s,g,r,t,a,d,w,b,g,u
p,s,f,e,f,y,f,w,n,k,g
p,x,y,n,f,f,d,d,n,n,u
e,s,f,p,t,n,a,w,b,e,u
e,k,y,y,t,l,n,w,n,n,m
e,b,g,w,t,n,d,w,b,w,w
e,x,y,p,f,n,n,w,n,u,w
e,s,y,u,f,n,a,c,n,r,l
e,b,s,g,t,n,n,w,n,b,g
p,b,y,y,t,f,d,d,b,b,g
e,k,y,n,t,n,f,c,b,e,g
e,k,s,w,t,n,n,c,b,e,l
p,f,f,p,f,f,d,d,b,n,g
p,b,y,c,f,c,f,w,n,o,p
e,x,f,g,f,a,a,c,b,k,l
e,k,f,y,t,n,f,d,b,k,u
p,x,g,p,f,p,a,d,b,e,p
e,b,y,p,f,n,d,w,n,b,w
e,k,s,w,f,a,d,w,n,k,u
p,f,s,g,t,y,f,d,b,w,d
e,b,g,r,f,n,d,w,n,b,g
e,x,s,r,f,n,d,d,n,y,l
e,f,y,c,t,n,a,w,n,u,w
e,b,f,b,t,l,d,w,n,o,p
e,k,f,e,t,n,n,d,n,u,l
p,s,s,y,t,f,a,d,b,o,d
e,b,s,w,f,a,n,w,n,w,d
e,c,s,y,t,a,f,d,n,u,l
e,x,f,w,f,n,n,c,n,w,w
p,k,y,r,t,y,d,w,b,b,l
p,k,y,w,t,y,f,c,n,o,u
e,c,y,g,f,n,d,c,n,r,l
p,s,y,b,t,y,f,c,n,n,g
e,f,y,c,t,n,f,d,n,r,d
e,k,g,n,f,a,a,w,b,b,p
e,f,s,r,f,s,n,w,b,n,m
e,f,y,n,t,a,d,c,b,g,l
e,f,g,n,t,n,f,d,b,g,p
p,s,y,u,t,s,a,w,n,w,d
e,b,s,b,f,a,f,w,b,n,u
p,c,y,e,f,c,n,w,b,b,u
e,x,y,p,t,a,f,c,b,p,l
e,c,y,g,f,a,n,c,n,g,w
e,k,s,w,f,n,f,c,b,p,d
p,c,f,y,t,y,n,c,n,e,w
e,x,s,e,t,n,d,c,n,h,l
p,b,f,y,t,f,n,w,n,h,w
e,k,g,c,t,n,n,c,b,r,g
e,b,g,c,f,n,d,d,b,e,m
e,k,y,g,t,a,n,c,b,w,w
e,x,y,w,t,y,f,c,b,g,l
e,b,y,w,f,n,f,c,n,g,l
e,x,s,r,f,n,f,w,b,u,g
p,x,y,w,f,c,d,w,b,r,u
e,s,f,p,f,y,n,d,b,b,w
p,c,g,e,f,p,n,w,n,w,m
e,k,g,e,f,n,f,c,n,h,u
e,f,g,y,f,n,n,d,n,u,l
p,f,f,u,t,f,f,d,n,r,m
e,b,y,g,t,f,f,d,b,w,l
e,x,f,g,f,l,f,c,n,p,d
p,c,f,p,t,f,d,w,n,w,g
p,k,s,w,f,c,a,w,b,o,d
e,b,s,u,t,a,a,c,b,y,g
e,x,g,r,f,p,n,w,b,k,u
