age,workclass,education,marital-status,occupation,race,sex,hours-per-week,native-country,income
37,Private,11th,Married-civ-spouse,Prof-specialty,White,Male,41,United-States,<=50K
58,Private,Some-college,Separated,Other-service,White,Female,17,United-States,<=50K
17,Private,Bachelors,Never-married,Priv-house-serv,White,Male,56,United-States,>50K
48,Private,HS-grad,Separated,Farming-fishing,White,Female,55,United-States,<=50K
39,Private,HS-grad,Never-married,Armed-Forces,White,Female,47,United-States,>50K
34,Private,Assoc-acdm,Never-married,Machine-op-inspct,Black,Male,53,United-States,<=50K
39,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,39,United-States,<=50K
17,Self-emp-inc,Bachelors,Never-married,Craft-repair,White,Male,43,United-States,<=50K
35,Private,7th-8th,Married-civ-spouse,Craft-repair,White,Male,31,Mexico,<=50K
42,Private,Bachelors,Never-married,Transport-moving,White,Male,19,United-States,<=50K
57,Private,HS-grad,Divorced,Armed-Forces,Asian-Pac-Islander,Male,25,United-States,<=50K
31,Private,11th,Never-married,Armed-Forces,White,Female,45,United-States,<=50K
27,Private,5th-6th,Widowed,Exec-managerial,White,Male,27,United-States,<=50K
31,Private,Bachelors,Separated,Transport-moving,White,Female,45,United-States,<=50K
49,Private,7th-8th,Married-civ-spouse,Tech-support,Black,Male,55,United-States,<=50K
42,Private,Masters,Divorced,Tech-support,White,Male,28,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,48,United-States,<=50K
44,Private,Some-college,Divorced,Other-service,White,Male,43,United-States,<=50K
39,Self-emp-inc,Assoc-voc,Married-civ-spouse,Other-service,White,Female,17,United-States,<=50K
50,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,54,United-States,<=50K
28,Without-pay,Bachelors,Divorced,Protective-serv,Asian-Pac-Islander,Male,46,United-States,<=50K
33,Private,Masters,Never-married,Prof-specialty,White,Male,22,United-States,>50K
32,Without-pay,HS-grad,Divorced,Tech-support,White,Male,30,United-States,<=50K
18,Private,Bachelors,Married-civ-spouse,Tech-support,White,Female,46,United-States,<=50K
41,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,White,Female,45,United-States,<=50K
41,Private,Some-college,Divorced,Machine-op-inspct,White,Female,39,United-States,<=50K
38,Self-emp-not-inc,HS-grad,Separated,Exec-managerial,White,Male,36,Other,<=50K
34,Self-emp-not-inc,HS-grad,Separated,Tech-support,White,Male,58,United-States,<=50K
19,Private,HS-grad,Married-civ-spouse,Sales,White,Male,51,United-States,<=50K
32,Self-emp-not-inc,HS-grad,Divorced,Armed-Forces,White,Male,35,United-States,<=50K
33,Private,Prof-school,Married-civ-spouse,Priv-house-serv,White,Male,25,United-States,>50K
27,Private,HS-grad,Never-married,Armed-Forces,White,Female,51,United-States,<=50K
35,Private,Some-college,Separated,Armed-Forces,White,Female,41,United-States,<=50K
43,Private,HS-grad,Divorced,Machine-op-inspct,White,Female,45,United-States,<=50K
62,Private,HS-grad,Never-married,Protective-serv,White,Male,39,United-States,>50K
40,Private,9th,Widowed,Adm-clerical,White,Male,50,United-States,<=50K
41,Private,Assoc-acdm,Never-married,Tech-support,White,Female,26,United-States,<=50K
37,Private,Some-college,Never-married,Sales,White,Female,47,Germany,<=50K
17,Private,HS-grad,Married-civ-spouse,Priv-house-serv,White,Female,46,United-States,<=50K
37,Local-gov,Some-college,Never-married,Armed-Forces,White,Male,39,United-States,<=50K
38,Private,Bachelors,Never-married,Adm-clerical,White,Female,13,United-States,<=50K
70,Private,7th-8th,Never-married,Priv-house-serv,White,Male,37,Other,<=50K
35,Self-emp-not-inc,Masters,Divorced,Handlers-cleaners,Black,Male,36,United-States,<=50K
41,Private,HS-grad,Widowed,Tech-support,White,Female,54,United-States,<=50K
37,Local-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,29,United-States,<=50K
22,Private,Bachelors,Married-civ-spouse,Tech-support,White,Male,53,United-States,<=50K
52,Self-emp-not-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,31,United-States,>50K
47,Private,Bachelors,Divorced,Machine-op-inspct,White,Male,48,United-States,>50K
48,Private,Assoc-voc,Never-married,Adm-clerical,White,Male,54,United-States,<=50K
26,Never-worked,7th-8th,Married-civ-spouse,Sales,White,Male,45,United-States,<=50K
56,Private,Masters,Divorced,Protective-serv,White,Male,41,United-States,<=50K
19,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Asian-Pac-Islander,Male,36,United-States,<=50K
45,Private,11th,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,49,United-States,<=50K
66,Private,10th,Never-married,Handlers-cleaners,White,Male,41,United-States,<=50K
25,Local-gov,Some-college,Divorced,Farming-fishing,Asian-Pac-Islander,Female,34,Philippines,<=50K
30,Private,7th-8th,Married-civ-spouse,Priv-house-serv,White,Male,47,United-States,<=50K
39,Private,11th,Married-civ-spouse,Transport-moving,White,Female,25,United-States,<=50K
31,Private,Masters,Never-married,Armed-Forces,White,Male,56,United-States,<=50K
17,Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,White,Male,57,United-States,<=50K
38,Private,Some-college,Married-civ-spouse,Craft-repair,White,Female,48,United-States,<=50K
24,Private,12th,Married-spouse-absent,Prof-specialty,White,Male,24,United-States,<=50K
44,Private,12th,Never-married,Transport-moving,White,Female,36,United-States,<=50K
26,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,32,United-States,<=50K
58,Private,Assoc-acdm,Never-married,Exec-managerial,White,Female,33,United-States,<=50K
27,Local-gov,Preschool,Married-civ-spouse,Other-service,White,Male,27,Other,<=50K
33,Private,7th-8th,Never-married,Adm-clerical,White,Male,47,United-States,<=50K
48,Self-emp-not-inc,Bachelors,Never-married,Sales,Black,Male,47,United-States,>50K
21,Private,Bachelors,Divorced,Prof-specialty,White,Male,25,United-States,<=50K
40,Private,Some-college,Married-civ-spouse,Priv-house-serv,White,Male,22,United-States,>50K
54,State-gov,HS-grad,Never-married,Adm-clerical,Asian-Pac-Islander,Male,32,United-States,<=50K
17,Private,11th,Divorced,Handlers-cleaners,White,Male,25,United-States,<=50K
40,Federal-gov,10th,Married-civ-spouse,Armed-Forces,Black,Female,40,United-States,<=50K
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,52,United-States,<=50K
48,Private,HS-grad,Divorced,Farming-fishing,White,Male,42,United-States,<=50K
21,Private,Some-college,Never-married,Armed-Forces,Other,Male,44,United-States,>50K
20,Federal-gov,HS-grad,Divorced,Prof-specialty,White,Male,46,United-States,<=50K
44,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Female,25,United-States,<=50K
41,Private,11th,Never-married,Prof-specialty,White,Male,63,Other,<=50K
41,Private,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,25,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Tech-support,White,Male,17,United-States,<=50K
29,Private,HS-grad,Never-married,Exec-managerial,White,Male,33,United-States,<=50K
41,Private,Some-college,Never-married,Priv-house-serv,White,Male,42,United-States,<=50K
41,Self-emp-not-inc,Some-college,Divorced,Adm-clerical,White,Male,43,United-States,>50K
28,Without-pay,HS-grad,Married-civ-spouse,Transport-moving,White,Male,72,Other,<=50K
62,Private,Some-college,Married-civ-spouse,Armed-Forces,White,Male,35,Other,<=50K
44,Private,11th,Married-civ-spouse,Exec-managerial,White,Male,51,United-States,<=50K
22,Federal-gov,HS-grad,Married-civ-spouse,Tech-support,White,Male,45,United-States,>50K
46,Without-pay,HS-grad,Never-married,Machine-op-inspct,White,Female,56,United-States,<=50K
25,Private,Assoc-acdm,Divorced,Exec-managerial,White,Male,38,United-States,>50K
48,Private,7th-8th,Married-civ-spouse,Craft-repair,White,Male,11,United-States,<=50K
53,Private,HS-grad,Never-married,Sales,White,Female,64,United-States,<=50K
27,Private,Bachelors,Married-civ-spouse,Craft-repair,White,Male,45,United-States,>50K
50,Private,HS-grad,Married-civ-spouse,Priv-house-serv,White,Male,35,United-States,<=50K
43,Private,11th,Married-civ-spouse,Armed-Forces,White,Female,12,United-States,<=50K
48,Private,Assoc-acdm,Never-married,Protective-serv,White,Male,19,United-States,>50K
62,Self-emp-not-inc,7th-8th,Never-married,Machine-op-inspct,White,Male,43,United-States,>50K
34,State-gov,HS-grad,Never-married,Prof-specialty,White,Male,16,United-States,<=50K
28,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,13,United-States,<=50K
26,Private,Masters,Never-married,Craft-repair,Black,Female,50,United-States,<=50K
27,Private,HS-grad,Married-civ-spouse,Protective-serv,Black,Female,45,United-States,<=50K
36,Private,HS-grad,Never-married,Protective-serv,White,Male,41,United-States,>50K
42,Private,Some-college,Married-civ-spouse,Farming-fishing,White,Male,43,United-States,<=50K
41,Private,HS-grad,Widowed,Tech-support,White,Female,50,United-States,<=50K
48,Private,11th,Divorced,Transport-moving,White,Female,39,United-States,<=50K
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,26,United-States,<=50K
56,Private,9th,Divorced,Transport-moving,White,Male,35,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Craft-repair,White,Female,25,United-States,>50K
73,Local-gov,HS-grad,Married-civ-spouse,Other-service,White,Female,43,United-States,>50K
46,Private,HS-grad,Married-civ-spouse,Craft-repair,Black,Male,16,United-States,>50K
26,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,35,United-States,<=50K
24,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,44,United-States,<=50K
44,Private,Assoc-acdm,Never-married,Prof-specialty,White,Male,46,United-States,<=50K
35,Private,11th,Married-civ-spouse,Transport-moving,White,Male,46,United-States,>50K
47,Private,Some-college,Separated,Tech-support,White,Male,33,United-States,<=50K
44,Private,Assoc-acdm,Married-civ-spouse,Priv-house-serv,White,Female,53,United-States,<=50K
37,Private,HS-grad,Never-married,Priv-house-serv,White,Male,16,United-States,<=50K
26,Private,9th,Married-civ-spouse,Other-service,White,Male,30,United-States,<=50K
18,Private,Assoc-voc,Married-civ-spouse,Other-service,White,Female,46,United-States,<=50K
32,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,White,Male,25,United-States,<=50K
49,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,Female,44,United-States,<=50K
40,State-gov,Prof-school,Married-civ-spouse,Machine-op-inspct,White,Female,62,United-States,<=50K
21,Private,Bachelors,Never-married,Handlers-cleaners,White,Male,27,United-States,<=50K
40,Private,7th-8th,Divorced,Handlers-cleaners,White,Male,58,United-States,<=50K
43,Private,Some-college,Married-civ-spouse,Armed-Forces,White,Female,50,United-States,<=50K
26,Private,HS-grad,Married-civ-spouse,Priv-house-serv,Amer-Indian-Eskimo,Male,34,United-States,>50K
39,Private,7th-8th,Married-civ-spouse,Adm-clerical,White,Male,49,United-States,>50K
38,Private,1st-4th,Married-civ-spouse,Farming-fishing,White,Female,49,United-States,>50K
23,Private,Some-college,Never-married,Other-service,White,Male,32,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,39,United-States,<=50K
45,Private,Some-college,Never-married,Protective-serv,White,Male,45,United-States,<=50K
52,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,45,United-States,>50K
51,State-gov,Assoc-acdm,Married-civ-spouse,Farming-fishing,White,Male,32,United-States,>50K
20,Local-gov,Bachelors,Never-married,Handlers-cleaners,White,Male,43,United-States,<=50K
25,Private,Some-college,Never-married,Machine-op-inspct,White,Male,39,United-States,<=50K
44,Self-emp-inc,HS-grad,Married-civ-spouse,Priv-house-serv,White,Male,27,United-States,<=50K
44,Private,Prof-school,Never-married,Other-service,White,Female,21,United-States,<=50K
44,Private,HS-grad,Married-civ-spouse,Exec-managerial,Amer-Indian-Eskimo,Male,38,United-States,<=50K
88,Private,Some-college,Married-civ-spouse,Farming-fishing,White,Male,25,United-States,<=50K
45,Without-pay,Some-college,Married-civ-spouse,Sales,White,Male,43,United-States,<=50K
52,Private,HS-grad,Never-married,Armed-Forces,White,Female,31,United-States,<=50K
50,Private,10th,Never-married,Protective-serv,White,Male,54,United-States,<=50K
46,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,White,Male,61,United-States,<=50K
33,Private,12th,Never-married,Tech-support,White,Female,23,United-States,<=50K
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,33,United-States,<=50K
27,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,35,United-States,<=50K
34,Private,HS-grad,Never-married,Prof-specialty,White,Female,67,United-States,<=50K
31,Private,Some-college,Married-civ-spouse,Priv-house-serv,White,Female,29,Other,<=50K
39,Private,Bachelors,Never-married,Protective-serv,Black,Female,28,United-States,<=50K
68,Private,Masters,Divorced,Sales,White,Male,44,United-States,<=50K
17,Private,9th,Never-married,Handlers-cleaners,White,Male,22,United-States,<=50K
46,State-gov,Bachelors,Married-civ-spouse,Transport-moving,White,Male,54,United-States,>50K
17,Private,Masters,Divorced,Priv-house-serv,White,Male,31,Mexico,<=50K
31,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,37,United-States,<=50K
52,Private,Doctorate,Married-civ-spouse,Adm-clerical,White,Male,39,United-States,<=50K
38,Private,Masters,Never-married,Tech-support,White,Male,29,United-States,<=50K
23,Self-emp-not-inc,Some-college,Never-married,Machine-op-inspct,White,Male,32,United-States,<=50K
28,Local-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,62,United-States,<=50K
46,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,39,United-States,<=50K
28,Private,Bachelors,Divorced,Transport-moving,Amer-Indian-Eskimo,Male,41,United-States,>50K
40,Private,Some-college,Married-civ-spouse,Armed-Forces,White,Male,63,United-States,<=50K
38,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Female,34,United-States,>50K
29,Private,Bachelors,Married-civ-spouse,Transport-moving,White,Female,8,United-States,<=50K
65,Private,Bachelors,Never-married,Priv-house-serv,White,Male,39,United-States,>50K
46,Self-emp-not-inc,Some-college,Married-civ-spouse,Armed-Forces,White,Male,36,United-States,<=50K
17,Private,5th-6th,Divorced,Craft-repair,White,Male,63,United-States,>50K
40,Self-emp-not-inc,Some-college,Never-married,Machine-op-inspct,White,Male,47,United-States,>50K
29,Private,Bachelors,Never-married,Adm-clerical,White,Male,23,United-States,<=50K
49,Private,Some-college,Married-civ-spouse,Adm-clerical,White,Male,39,United-States,<=50K
27,Self-emp-inc,Masters,Married-civ-spouse,Sales,White,Male,15,United-States,>50K
36,Local-gov,Bachelors,Never-married,Protective-serv,White,Male,30,United-States,<=50K
44,Private,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,41,United-States,<=50K
49,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,35,United-States,<=50K
22,Private,7th-8th,Never-married,Protective-serv,White,Female,36,United-States,<=50K
33,Private,Some-college,Divorced,Other-service,White,Male,44,United-States,<=50K
31,Private,HS-grad,Divorced,Craft-repair,White,Female,58,United-States,<=50K
29,Federal-gov,Some-college,Divorced,Protective-serv,White,Female,39,United-States,<=50K
60,State-gov,Bachelors,Never-married,Craft-repair,White,Female,47,United-States,<=50K
43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Female,42,United-States,>50K
21,Private,5th-6th,Divorced,Machine-op-inspct,White,Female,46,United-States,<=50K
49,Without-pay,Bachelors,Married-civ-spouse,Farming-fishing,White,Male,41,United-States,>50K
65,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,41,United-States,<=50K
51,State-gov,HS-grad,Married-civ-spouse,Transport-moving,White,Female,46,United-States,<=50K
18,Private,Some-college,Never-married,Sales,Black,Male,27,United-States,>50K
31,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,White,Female,40,United-States,>50K
54,Private,11th,Separated,Other-service,White,Female,35,United-States,<=50K
28,Private,Some-college,Married-civ-spouse,Other-service,White,Male,43,United-States,<=50K
43,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,22,United-States,<=50K
48,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,27,United-States,<=50K
25,Private,Masters,Never-married,Priv-house-serv,White,Male,51,United-States,>50K
37,Federal-gov,10th,Never-married,Transport-moving,White,Male,45,Philippines,<=50K
17,Private,Bachelors,Married-civ-spouse,Other-service,White,Male,18,Philippines,>50K
24,Private,Bachelors,Divorced,Transport-moving,White,Male,20,United-States,>50K
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Black,Male,47,United-States,<=50K
21,Private,5th-6th,Never-married,Exec-managerial,Black,Male,29,United-States,<=50K
59,Private,Some-college,Never-married,Exec-managerial,White,Female,52,United-States,<=50K
19,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,36,United-States,<=50K
32,Private,11th,Divorced,Handlers-cleaners,White,Male,26,United-States,<=50K
39,Private,10th,Never-married,Priv-house-serv,White,Male,29,United-States,<=50K
56,Never-worked,12th,Never-married,Exec-managerial,White,Female,64,United-States,<=50K
19,Federal-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,45,United-States,<=50K
53,Private,Bachelors,Never-married,Tech-support,White,Male,33,Other,<=50K
38,Private,Bachelors,Never-married,Other-service,Black,Male,39,United-States,<=50K
25,Private,HS-grad,Never-married,Protective-serv,White,Male,39,United-States,<=50K
44,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,50,United-States,>50K
40,Private,Bachelors,Divorced,Protective-serv,White,Male,48,Other,<=50K
30,Private,Bachelors,Never-married,Handlers-cleaners,White,Male,37,United-States,<=50K
38,Private,Bachelors,Married-civ-spouse,Craft-repair,White,Male,35,Other,<=50K
32,Private,HS-grad,Never-married,Protective-serv,White,Male,46,United-States,<=50K
39,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,17,United-States,<=50K
46,Private,Bachelors,Never-married,Protective-serv,White,Male,38,United-States,<=50K
58,Private,Bachelors,Never-married,Tech-support,White,Male,39,United-States,<=50K
21,Local-gov,Bachelors,Married-civ-spouse,Transport-moving,Black,Female,36,United-States,>50K
65,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,White,Male,39,United-States,>50K
17,Private,Some-college,Married-civ-spouse,Farming-fishing,White,Male,50,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Priv-house-serv,White,Male,31,United-States,<=50K
45,Private,HS-grad,Widowed,Priv-house-serv,White,Female,40,United-States,<=50K
41,Private,11th,Married-civ-spouse,Transport-moving,White,Female,42,United-States,<=50K
29,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Male,46,United-States,<=50K
35,Private,Assoc-acdm,Never-married,Transport-moving,White,Male,24,United-States,<=50K
31,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,9,United-States,<=50K
30,State-gov,1st-4th,Married-civ-spouse,Transport-moving,White,Male,17,United-States,<=50K
49,Private,Masters,Never-married,Tech-support,White,Female,24,United-States,<=50K
42,Private,HS-grad,Divorced,Armed-Forces,White,Male,53,United-States,<=50K
28,Private,Masters,Married-civ-spouse,Priv-house-serv,White,Male,54,United-States,>50K
49,Private,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,49,United-States,<=50K
41,Local-gov,10th,Married-civ-spouse,Sales,White,Male,45,United-States,<=50K
48,Private,HS-grad,Never-married,Armed-Forces,White,Male,27,United-States,<=50K
46,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,45,United-States,<=50K
27,Private,Some-college,Married-civ-spouse,Farming-fishing,Black,Male,45,United-States,<=50K
30,Private,HS-grad,Never-married,Transport-moving,White,Female,32,United-States,<=50K
47,Never-worked,11th,Married-civ-spouse,Machine-op-inspct,White,Male,29,United-States,<=50K
45,Self-emp-inc,HS-grad,Married-civ-spouse,Armed-Forces,White,Male,46,United-States,<=50K
37,Local-gov,Bachelors,Never-married,Transport-moving,White,Male,45,United-States,>50K
39,Private,HS-grad,Never-married,Sales,White,Male,39,United-States,<=50K
54,Private,Some-college,Married-civ-spouse,Other-service,White,Female,54,United-States,<=50K
30,Private,Bachelors,Never-married,Farming-fishing,White,Female,44,United-States,<=50K
45,State-gov,HS-grad,Married-civ-spouse,Transport-moving,Black,Male,40,United-States,>50K
35,Private,1st-4th,Never-married,Handlers-cleaners,White,Female,60,United-States,<=50K
35,Private,11th,Never-married,Handlers-cleaners,White,Female,27,United-States,<=50K
52,Private,HS-grad,Divorced,Other-service,White,Female,25,United-States,<=50K
48,Private,11th,Married-civ-spouse,Transport-moving,White,Male,24,United-States,<=50K
48,Private,HS-grad,Never-married,Protective-serv,White,Male,47,United-States,>50K
54,Private,Some-college,Never-married,Sales,White,Male,24,United-States,>50K
38,Local-gov,5th-6th,Married-civ-spouse,Handlers-cleaners,White,Male,34,United-States,<=50K
46,Self-emp-not-inc,9th,Never-married,Other-service,White,Male,22,Other,<=50K
33,Private,Bachelors,Never-married,Prof-specialty,White,Female,46,United-States,<=50K
42,State-gov,Some-college,Never-married,Craft-repair,White,Male,42,United-States,<=50K
36,Private,Masters,Widowed,Handlers-cleaners,White,Male,48,Other,>50K
39,Private,Preschool,Never-married,Tech-support,White,Male,45,United-States,>50K
45,Private,Preschool,Widowed,Protective-serv,White,Male,36,United-States,<=50K
27,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,White,Female,45,United-States,<=50K
65,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,15,United-States,>50K
24,State-gov,Bachelors,Divorced,Adm-clerical,White,Male,47,United-States,>50K
22,Private,Bachelors,Married-civ-spouse,Transport-moving,White,Male,43,Other,>50K
